Date,Day,SKU,City,Volume,BU,Brand,Model,Avg Price,Total Sales Value,Discount Rate (%),Discount Amount,Net Sales Value
01-04-2021,Thursday,M01,C,15,Mobiles,RealU,RU-10,12100,181500,11.654820286277227,21153.49881959317,160346.50118040683
01-04-2021,Thursday,M02,C,10,Mobiles,RealU,RU-9 Plus,10100,101000,11.560497981172011,11676.102960983731,89323.89703901627
01-04-2021,Thursday,M03,C,7,Mobiles,YouM,YM-99,16100,112700,9.456885675868353,10657.910156703634,102042.08984329636
01-04-2021,Thursday,M04,C,6,Mobiles,YouM,YM-99 Plus,20100,120600,6.935385325,8364.074702073072,112235.92529792692
01-04-2021,Thursday,M05,C,3,Mobiles,YouM,YM-98 ,8100,24300,17.995663499847538,4372.946230462952,19927.053769537048
01-04-2021,Thursday,M06,C,3,Mobiles,RealU,RU-9,8100,24300,16.996488910376506,4130.1468052214905,20169.85319477851
01-04-2021,Thursday,M07,C,3,Mobiles,Sumsang,S-20,49100,147300,9.228811758,13594.039718999667,133705.96028100033
01-04-2021,Thursday,M08,C,2,Mobiles,Sumsang,S-21,54100,108200,5.553719335858815,6009.124321399238,102190.87567860076
01-04-2021,Thursday,M09,C,2,Mobiles,Orange,O-10,55100,110200,7.410104486,8165.935143619563,102034.06485638044
01-04-2021,Thursday,M10,C,3,Mobiles,Orange,O-11,60100,180300,9.928443556922565,17900.983733131387,162399.01626686862
01-04-2021,Thursday,F01,C,13,FMCG,Babaji,Babaji Oil ,400,5200,18.869241650349192,981.2005658181579,4218.799434181842
01-04-2021,Thursday,F02,C,4,FMCG,Vedic,Vedic Cream,300,1200,16.578315839170525,198.93979007004629,1001.0602099299538
01-04-2021,Thursday,F03,C,4,FMCG,Vedic,Vedic Shampoo,390,1560,18.15940810281622,283.2867664,1276.713233596067
01-04-2021,Thursday,F04,C,9,FMCG,Babaji,Babaji Shampoo,465,4185,18.509507661487792,774.6228956332641,3410.3771043667357
01-04-2021,Thursday,F05,C,5,FMCG,Babaji,Babaji Cream,290,1450,15.516590589482743,224.99056354749976,1225.0094364525003
01-04-2021,Thursday,F06,C,5,FMCG,Vedic,Vedic Oil,450,2250,18.120928359044605,407.7208880785036,1842.2791119214965
01-04-2021,Thursday,F07,C,3,FMCG,Gear,Gear Oil,500,1500,18.11487059931267,271.72305898969006,1228.2769410103099
01-04-2021,Thursday,F08,C,3,FMCG,Gear,Gear Cream,400,1200,17.506967212926114,210.08360655511336,989.9163934448866
01-04-2021,Thursday,F09,C,1,FMCG,Gear,Gear Shampoo,560,560,16.723064529319696,93.64916136419029,466.35083863580974
01-04-2021,Thursday,F10,C,4,FMCG,Gear,Gear BB Cream,1099,4396,16.735953685973765,735.7125240354067,3660.2874759645933
01-04-2021,Thursday,L01,C,10,Lifestyle,Jeera,M- T Shirts,450,4500,19.527482792870615,878.7367256791777,3621.2632743208223
01-04-2021,Thursday,L02,C,8,Lifestyle,Jeera,M- Inners,500,4000,19.19432326805784,767.7729307223136,3232.2270692776865
01-04-2021,Thursday,L03,C,7,Lifestyle,Viva,W-Casuals,900,6300,18.06086733176471,1137.8346419011768,5162.165358098823
01-04-2021,Thursday,L04,C,5,Lifestyle,Viva,W-Inners,1300,6500,18.70696234082248,1215.952552153461,5284.0474478465385
01-04-2021,Thursday,L05,C,5,Lifestyle,Jeera,M-Jeans,2099,10495,19.938599568896862,2092.556024755726,8402.443975244274
01-04-2021,Thursday,L06,C,4,Lifestyle,Jeera,M-Casuals,1300,5200,18.84207796300867,979.7880540764507,4220.211945923549
01-04-2021,Thursday,L07,C,5,Lifestyle,Viva,W-Western,2600,13000,15.22271398029837,1978.9528174387879,11021.047182561211
01-04-2021,Thursday,L08,C,3,Lifestyle,Viva,W-Lounge,1600,4800,19.60701230337276,941.1365905618924,3858.8634094381077
01-04-2021,Thursday,L09,C,1,Lifestyle,Jeera,M-Formals,1900,1900,16.668537503167975,316.7022125601915,1583.2977874398084
01-04-2021,Thursday,L10,C,3,Lifestyle,Jeera,M-Shoes,3100,9300,16.577215459421417,1541.6810377261918,7758.318962273808
02-04-2021,Friday,M01,C,11,Mobiles,RealU,RU-10,12100,133100,13.10714037,17445.603828100593,115654.39617189941
02-04-2021,Friday,M02,C,8,Mobiles,RealU,RU-9 Plus,10100,80800,11.463709496680202,9262.677273317604,71537.32273
02-04-2021,Friday,M03,C,7,Mobiles,YouM,YM-99,16100,112700,9.816115051228891,11062.761662734962,101637.23833726504
02-04-2021,Friday,M04,C,6,Mobiles,YouM,YM-99 Plus,20100,120600,6.214888201701022,7495.155171251433,113104.84482874857
02-04-2021,Friday,M05,C,2,Mobiles,YouM,YM-98 ,8100,16200,18.735169283110185,3035.097424,13164.90257613615
02-04-2021,Friday,M06,C,3,Mobiles,RealU,RU-9,8100,24300,17.988541652817347,4371.215621634616,19928.784378365384
02-04-2021,Friday,M07,C,3,Mobiles,Sumsang,S-20,49100,147300,5.252112549273296,7736.3617850795645,139563.63821492044
02-04-2021,Friday,M08,C,1,Mobiles,Sumsang,S-21,54100,54100,9.238957338523049,4998.27592,49101.72407985903
02-04-2021,Friday,M09,C,3,Mobiles,Orange,O-10,55100,165300,8.440205804268277,13951.660194455462,151348.33980554453
02-04-2021,Friday,M10,C,3,Mobiles,Orange,O-11,60100,180300,9.087093183,16384.029009441005,163915.971
02-04-2021,Friday,F01,C,29,FMCG,Babaji,Babaji Oil ,400,11600,19.68807392701107,2283.8165755332843,9316.183424466715
02-04-2021,Friday,F02,C,8,FMCG,Vedic,Vedic Cream,300,2400,16.221400717005285,389.3136172081268,2010.6863827918733
02-04-2021,Friday,F03,C,6,FMCG,Vedic,Vedic Shampoo,390,2340,18.062949881658987,422.6730272308203,1917.3269727691797
02-04-2021,Friday,F04,C,9,FMCG,Babaji,Babaji Shampoo,465,4185,17.300651364087425,724.0322595870588,3460.967740412941
02-04-2021,Friday,F05,C,7,FMCG,Babaji,Babaji Cream,290,2030,17.296753022092158,351.1240863484708,1678.8759136515291
02-04-2021,Friday,F06,C,3,FMCG,Vedic,Vedic Oil,450,1350,15.999206110049954,215.98928248567438,1134.0107175143257
02-04-2021,Friday,F07,C,3,FMCG,Gear,Gear Oil,500,1500,18.519110434599973,277.78665651899956,1222.2133434810005
02-04-2021,Friday,F08,C,1,FMCG,Gear,Gear Cream,400,400,17.294485572056967,69.17794228822787,330.8220577117721
02-04-2021,Friday,F09,C,2,FMCG,Gear,Gear Shampoo,560,1120,15.970574895801047,178.87043883297173,941.1295611670282
02-04-2021,Friday,F10,C,3,FMCG,Gear,Gear BB Cream,1099,3297,18.46486650271903,608.7866485946464,2688.2133514053535
02-04-2021,Friday,L01,C,13,Lifestyle,Jeera,M- T Shirts,450,5850,17.68346638923947,1034.482783770509,4815.517216229491
02-04-2021,Friday,L02,C,3,Lifestyle,Jeera,M- Inners,500,1500,15.348901860554825,230.2335279083224,1269.7664720916775
02-04-2021,Friday,L03,C,4,Lifestyle,Viva,W-Casuals,900,3600,16.507743182560283,594.2787545721702,3005.7212454278297
02-04-2021,Friday,L04,C,6,Lifestyle,Viva,W-Inners,1300,7800,18.007000090221872,1404.546007037306,6395.4539929626935
02-04-2021,Friday,L05,C,7,Lifestyle,Jeera,M-Jeans,2099,14693,18.114262113072808,2661.5285322737873,12031.471467726213
02-04-2021,Friday,L06,C,6,Lifestyle,Jeera,M-Casuals,1300,7800,15.46512976386208,1206.2801215812424,6593.719878418758
02-04-2021,Friday,L07,C,4,Lifestyle,Viva,W-Western,2600,10400,18.017017754952228,1873.7698465150318,8526.230153484968
02-04-2021,Friday,L08,C,3,Lifestyle,Viva,W-Lounge,1600,4800,16.361022367492804,785.3290736396547,4014.670926360345
02-04-2021,Friday,L09,C,1,Lifestyle,Jeera,M-Formals,1900,1900,18.39585553993682,349.52125525879956,1550.4787447412004
02-04-2021,Friday,L10,C,2,Lifestyle,Jeera,M-Shoes,3100,6200,17.004750688604858,1054.2945426935012,5145.705457306499
03-04-2021,Saturday,M01,C,5,Mobiles,RealU,RU-10,12100,60500,10.872805596507074,6578.047386,53921.95261411322
03-04-2021,Saturday,M02,C,5,Mobiles,RealU,RU-9 Plus,10100,50500,10.924438305127364,5516.841344089318,44983.15865591068
03-04-2021,Saturday,M03,C,5,Mobiles,YouM,YM-99,16100,80500,8.668041319975172,6977.773262580014,73522.22673741999
03-04-2021,Saturday,M04,C,5,Mobiles,YouM,YM-99 Plus,20100,100500,9.153949565101879,9199.719313,91300.28069
03-04-2021,Saturday,M05,C,4,Mobiles,YouM,YM-98 ,8100,32400,17.14675853,5555.549763666768,26844.450236333232
03-04-2021,Saturday,M06,C,2,Mobiles,RealU,RU-9,8100,16200,18.531892689272368,3002.1666156621236,13197.833384337877
03-04-2021,Saturday,M07,C,4,Mobiles,Sumsang,S-20,49100,196400,8.601079913939643,16892.520950977458,179507.47904902254
03-04-2021,Saturday,M08,C,1,Mobiles,Sumsang,S-21,54100,54100,7.621790957934959,4123.388908242812,49976.611091757186
03-04-2021,Saturday,M09,C,1,Mobiles,Orange,O-10,55100,55100,8.907134380813915,4907.831043828467,50192.16895617153
03-04-2021,Saturday,M10,C,2,Mobiles,Orange,O-11,60100,120200,5.007822189204133,6019.402271423368,114180.59772857663
03-04-2021,Saturday,F01,C,24,FMCG,Babaji,Babaji Oil ,400,9600,17.050296756410482,1636.8284886154063,7963.171511384594
03-04-2021,Saturday,F02,C,14,FMCG,Vedic,Vedic Cream,300,4200,16.988645263794755,713.5231010793797,3486.4768989206204
03-04-2021,Saturday,F03,C,4,FMCG,Vedic,Vedic Shampoo,390,1560,19.276068842283127,300.7066739396168,1259.2933260603832
03-04-2021,Saturday,F04,C,6,FMCG,Babaji,Babaji Shampoo,465,2790,17.943877040928143,500.6341694418952,2289.365830558105
03-04-2021,Saturday,F05,C,6,FMCG,Babaji,Babaji Cream,290,1740,18.18516737,316.4219122,1423.5780877694751
03-04-2021,Saturday,F06,C,6,FMCG,Vedic,Vedic Oil,450,2700,19.88747923876981,536.9619394467849,2163.038060553215
03-04-2021,Saturday,F07,C,5,FMCG,Gear,Gear Oil,500,2500,17.811924888427626,445.2981222106906,2054.7018777893095
03-04-2021,Saturday,F08,C,3,FMCG,Gear,Gear Cream,400,1200,18.703844700597998,224.44613640717597,975.5538636
03-04-2021,Saturday,F09,C,2,FMCG,Gear,Gear Shampoo,560,1120,17.253385885722242,193.2379219200891,926.7620780799109
03-04-2021,Saturday,F10,C,4,FMCG,Gear,Gear BB Cream,1099,4396,16.946078261315066,744.9496003674103,3651.0503996325897
03-04-2021,Saturday,L01,C,12,Lifestyle,Jeera,M- T Shirts,450,5400,19.18987070662069,1036.2530181575173,4363.7469818424825
03-04-2021,Saturday,L02,C,9,Lifestyle,Jeera,M- Inners,500,4500,17.361322083094507,781.2594937392528,3718.740506260747
03-04-2021,Saturday,L03,C,5,Lifestyle,Viva,W-Casuals,900,4500,16.02048658180877,720.9218961813946,3779.0781038186055
03-04-2021,Saturday,L04,C,5,Lifestyle,Viva,W-Inners,1300,6500,19.357934276476378,1258.2657279709645,5241.734272029035
03-04-2021,Saturday,L05,C,3,Lifestyle,Jeera,M-Jeans,2099,6297,15.234732926198292,959.3311323627064,5337.668867637293
03-04-2021,Saturday,L06,C,3,Lifestyle,Jeera,M-Casuals,1300,3900,18.60252596927542,725.4985128017413,3174.5014871982585
03-04-2021,Saturday,L07,C,6,Lifestyle,Viva,W-Western,2600,15600,17.406483200942667,2715.411379347056,12884.588620652943
03-04-2021,Saturday,L08,C,3,Lifestyle,Viva,W-Lounge,1600,4800,18.333913713826863,880.0278582636894,3919.9721417363107
03-04-2021,Saturday,L09,C,3,Lifestyle,Jeera,M-Formals,1900,5700,15.980169189765197,910.8696438166163,4789.130356183384
03-04-2021,Saturday,L10,C,1,Lifestyle,Jeera,M-Shoes,3100,3100,15.444062499880264,478.7659374962882,2621.234062503712
04-04-2021,Sunday,M01,C,9,Mobiles,RealU,RU-10,12100,108900,13.97120599044711,15214.643323596902,93685.35668
04-04-2021,Sunday,M02,C,9,Mobiles,RealU,RU-9 Plus,10100,90900,12.454656502759502,11321.282761008388,79578.71723899161
04-04-2021,Sunday,M03,C,3,Mobiles,YouM,YM-99,16100,48300,8.417729657551561,4065.763424597404,44234.236575402596
04-04-2021,Sunday,M04,C,6,Mobiles,YouM,YM-99 Plus,20100,120600,5.870670938165718,7080.029151427856,113519.97084857215
04-04-2021,Sunday,M05,C,3,Mobiles,YouM,YM-98 ,8100,24300,16.789339641673248,4079.8095329265993,20220.19047
04-04-2021,Sunday,M06,C,2,Mobiles,RealU,RU-9,8100,16200,15.77608924263355,2555.726457306635,13644.273542693365
04-04-2021,Sunday,M07,C,3,Mobiles,Sumsang,S-20,49100,147300,8.569248919012532,12622.50365770546,134677.49634229453
04-04-2021,Sunday,M08,C,2,Mobiles,Sumsang,S-21,54100,108200,7.823773919213602,8465.323380589118,99734.67661941088
04-04-2021,Sunday,M09,C,2,Mobiles,Orange,O-10,55100,110200,6.710453536396899,7394.919797109382,102805.08020289062
04-04-2021,Sunday,M10,C,2,Mobiles,Orange,O-11,60100,120200,6.095201440402829,7326.432131364201,112873.5678686358
04-04-2021,Sunday,F01,C,25,FMCG,Babaji,Babaji Oil ,400,10000,17.93227484021013,1793.227484021013,8206.772515978988
04-04-2021,Sunday,F02,C,15,FMCG,Vedic,Vedic Cream,300,4500,17.216943503508052,774.7624576578623,3725.2375423421377
04-04-2021,Sunday,F03,C,11,FMCG,Vedic,Vedic Shampoo,390,4290,16.530115799511485,709.1419677990427,3580.8580322009575
04-04-2021,Sunday,F04,C,7,FMCG,Babaji,Babaji Shampoo,465,3255,15.251729901882404,496.4438083062723,2758.5561916937277
04-04-2021,Sunday,F05,C,6,FMCG,Babaji,Babaji Cream,290,1740,16.440144508699397,286.05851445136955,1453.9414855486305
04-04-2021,Sunday,F06,C,4,FMCG,Vedic,Vedic Oil,450,1800,16.45459054571782,296.1826298229208,1503.8173701770793
04-04-2021,Sunday,F07,C,4,FMCG,Gear,Gear Oil,500,2000,19.68043912697078,393.60878253941553,1606.3912174605844
04-04-2021,Sunday,F08,C,4,FMCG,Gear,Gear Cream,400,1600,16.09063730242208,257.4501968387533,1342.5498031612467
04-04-2021,Sunday,F09,C,3,FMCG,Gear,Gear Shampoo,560,1680,17.399930976359215,292.31884040283484,1387.681159597165
04-04-2021,Sunday,F10,C,1,FMCG,Gear,Gear BB Cream,1099,1099,18.468603160082225,202.96994872930364,896.0300512706964
04-04-2021,Sunday,L01,C,10,Lifestyle,Jeera,M- T Shirts,450,4500,18.32601839,824.6708274,3675.3291725801582
04-04-2021,Sunday,L02,C,10,Lifestyle,Jeera,M- Inners,500,5000,19.78474373,989.2371867,4010.762813281055
04-04-2021,Sunday,L03,C,3,Lifestyle,Viva,W-Casuals,900,2700,15.089827398292503,407.42533975389756,2292.574660246102
04-04-2021,Sunday,L04,C,3,Lifestyle,Viva,W-Inners,1300,3900,19.129058785086663,746.0332926183797,3153.9667073816204
04-04-2021,Sunday,L05,C,7,Lifestyle,Jeera,M-Jeans,2099,14693,17.788713430687906,2613.695664370974,12079.304335629025
04-04-2021,Sunday,L06,C,5,Lifestyle,Jeera,M-Casuals,1300,6500,19.664976226088747,1278.2234546957686,5221.776545304231
04-04-2021,Sunday,L07,C,4,Lifestyle,Viva,W-Western,2600,10400,15.763121102348151,1639.3645946442077,8760.635405355792
04-04-2021,Sunday,L08,C,2,Lifestyle,Viva,W-Lounge,1600,3200,19.976878852757167,639.2601232882294,2560.7398767117706
04-04-2021,Sunday,L09,C,1,Lifestyle,Jeera,M-Formals,1900,1900,18.90416189542705,359.1790760131139,1540.820923986886
04-04-2021,Sunday,L10,C,3,Lifestyle,Jeera,M-Shoes,3100,9300,17.67182384213527,1643.4796173185803,7656.5203826814195
05-04-2021,Monday,M01,C,3,Mobiles,RealU,RU-10,12100,36300,12.138161178646733,4406.152507848764,31893.847492151235
05-04-2021,Monday,M02,C,6,Mobiles,RealU,RU-9 Plus,10100,60600,14.568101405876613,8828.269451961227,51771.73054803877
05-04-2021,Monday,M03,C,5,Mobiles,YouM,YM-99,16100,80500,8.097087086978906,6518.155105,73981.84489498199
05-04-2021,Monday,M04,C,3,Mobiles,YouM,YM-99 Plus,20100,60300,7.747990880089501,4672.038501,55627.96149930603
05-04-2021,Monday,M05,C,3,Mobiles,YouM,YM-98 ,8100,24300,15.416672988182352,3746.2515361283113,20553.74846387169
05-04-2021,Monday,M06,C,3,Mobiles,RealU,RU-9,8100,24300,17.328633769441627,4210.858005974315,20089.141994025686
05-04-2021,Monday,M07,C,3,Mobiles,Sumsang,S-20,49100,147300,8.532277919222786,12568.045375015163,134731.95462498485
05-04-2021,Monday,M08,C,3,Mobiles,Sumsang,S-21,54100,162300,5.935084193732397,9632.641646,152667.35835357232
05-04-2021,Monday,M09,C,2,Mobiles,Orange,O-10,55100,110200,7.584590638090228,8358.218883175432,101841.78111682457
05-04-2021,Monday,M10,C,2,Mobiles,Orange,O-11,60100,120200,9.086087808184843,10921.477545438182,109278.52245456181
05-04-2021,Monday,F01,C,15,FMCG,Babaji,Babaji Oil ,400,6000,17.712694366059047,1062.7616619635428,4937.238338036457
05-04-2021,Monday,F02,C,7,FMCG,Vedic,Vedic Cream,300,2100,17.297226571292995,363.2417579971529,1736.758242002847
05-04-2021,Monday,F03,C,10,FMCG,Vedic,Vedic Shampoo,390,3900,16.631517798104518,648.6291941260762,3251.370805873924
05-04-2021,Monday,F04,C,8,FMCG,Babaji,Babaji Shampoo,465,3720,17.57311945929308,653.7200438857026,3066.2799561142974
05-04-2021,Monday,F05,C,4,FMCG,Babaji,Babaji Cream,290,1160,17.80206774460188,206.50398583738183,953.4960141626182
05-04-2021,Monday,F06,C,4,FMCG,Vedic,Vedic Oil,450,1800,17.720234230056935,318.96421614102485,1481.0357838589753
05-04-2021,Monday,F07,C,4,FMCG,Gear,Gear Oil,500,2000,15.546114238860747,310.92228477721494,1689.0777152227852
05-04-2021,Monday,F08,C,2,FMCG,Gear,Gear Cream,400,800,16.34737903216006,130.77903225728048,669.2209677427195
05-04-2021,Monday,F09,C,2,FMCG,Gear,Gear Shampoo,560,1120,16.55972731,185.46894582812064,934.5310541718793
05-04-2021,Monday,F10,C,2,FMCG,Gear,Gear BB Cream,1099,2198,16.116142409871937,354.23281016898517,1843.7671898310148
05-04-2021,Monday,L01,C,14,Lifestyle,Jeera,M- T Shirts,450,6300,17.19470437031755,1083.2663753300055,5216.733624669994
05-04-2021,Monday,L02,C,3,Lifestyle,Jeera,M- Inners,500,1500,17.344507543451314,260.16761315176973,1239.8323868482303
05-04-2021,Monday,L03,C,2,Lifestyle,Viva,W-Casuals,900,1800,17.673372623533588,318.1207072236046,1481.8792927763955
05-04-2021,Monday,L04,C,5,Lifestyle,Viva,W-Inners,1300,6500,16.12159665461466,1047.903782549953,5452.096217450047
05-04-2021,Monday,L05,C,4,Lifestyle,Jeera,M-Jeans,2099,8396,18.93978420230747,1590.1842816257354,6805.815718374264
05-04-2021,Monday,L06,C,4,Lifestyle,Jeera,M-Casuals,1300,5200,17.37960448895497,903.7394334256585,4296.260566574341
05-04-2021,Monday,L07,C,4,Lifestyle,Viva,W-Western,2600,10400,18.09216823548678,1881.5854964906255,8518.414503509375
05-04-2021,Monday,L08,C,2,Lifestyle,Viva,W-Lounge,1600,3200,17.606097637738944,563.3951244076462,2636.604875592354
05-04-2021,Monday,L09,C,3,Lifestyle,Jeera,M-Formals,1900,5700,17.34439087327293,988.6302797765569,4711.369720223443
